b0001	P0AD86
b0002	P00561
b0003	P00547
b0004	P00934
b0005	P75616
b0006	P0A8I3
b0007	P30143
b0008	P0A870
b0009	P0AF03
b0010	P0AC98
b0011	P75617
b0013	P28696
b0014	P0A6Y8
b0015	P08622
b0016	P0CF91
b0018	P33236
b4412	P0ACG4
b0019	P13738
b0020	P0A9G2
b0021	P0CF25
b0022	P0CF07
b0023	P0A7U7
b0024	P75620
b0025	P0AG40
b0026	P00956
b0027	P00804
b0028	P0AEM0
b0029	P62623
b0030	P22564
b0031	P04036
b0032	P0A6F1
b0033	P00968
b0034	P0AE58
b0035	P39206
b0036	P31551
b0037	P31552
b0038	P31572
b0039	P60584
b0040	P31553
b0041	P60566
b0042	P31574
b0043	P68644
b0044	P68646
b0045	P31679
b0046	P0A754
b0047	P03819
b0048	P0ABQ4
b0049	P05637
b0050	P62672
b0051	P06992
b0052	P19624
b0053	P0ABZ6
b0054	P31554
b0055	P31680
b0058	P0AA37
b0059	P60240
b0060	P21189
b0061	P08203
b0062	P08202
b0063	P08204
b0064	P0A9E0
b0065	P30149
b0066	P31548
b0067	P31549
b0068	P31550
b0069	P33595
b4662	C1P5Z7
b0070	P31675
b0071	P30126
b0072	P0A6A6
b0073	P30125
b0074	P09151
b0075	P0AD79
b0076	P10151
b0077	P00893
b0078	P00894
b0080	P0ACP1
b0081	P22186
b0082	P60390
b0083	P0AEN4
b0084	P0AD68
b0085	P22188
b0086	P11880
b0087	P0A6W3
b0088	P14900
b0089	P0ABG4
b0090	P17443
b0091	P17952
b0092	P07862
b0093	P06136
b0094	P0ABH0
b0095	P0A9A6
b0096	P0A725
b0097	P62395
b0098	P10408
b0099	P08337
b0101	P0A8H8
b0102	P36680
b0103	P0A6I9
b0104	P60560
b0106	P36646
b0107	P36645
b0108	P36647
b0109	P30011
b0110	P13016
b0111	P0AE14
b0112	P15993
b0113	P0ACL9
b0114	P0AFG8
b0115	P06959
b0116	P0A9P0
b0117	P36682
b0118	P36683
b0119	P0A8E5
b0120	P0A7F6
b0121	P09158
b0122	P0AA95
b0123	P36649
b0124	P15877
b0125	P0A9M2
b0126	P61517
b0127	P36879
b0128	P0AFN6
b0129	P36881
b0130	P31666
b0131	P0A790
b0132	P31665
b0133	P31663
b0134	P31057
b0135	P31058
b0136	P37016
b0137	P37017
b0138	P37018
b0139	P33129
b0140	P33128
b0141	P37050
b0142	P26281
b0143	P0ABF1
b0144	P27305
b0145	P0ABS1
b0146	P0A823
b0147	P37025
b0148	P37024
b0149	P02919
b0150	P06971
b0151	P07821
b0152	P07822
b0153	P06972
b0154	P23893
b0155	P37019
b0156	P0ACC3
b0157	P0AFP0
b0158	P37028
b0159	P0AF12
b0160	P15723
b0161	P0C0V0
b0162	P37047
b0163	P62768
b0164	P37049
b0166	P0A9D8
b0167	P27249
b0168	P0AE18
b0169	P0A7V0
b0170	P0A6P1
b0171	P0A7E9
b0172	P0A805
b0173	P45568
b0174	P60472
b0175	P0ABG1
b0176	P0AEH1
b0177	P0A940
b0178	P0AEU7
b0179	P21645
b0180	P0A6Q6
b0181	P0A722
b0182	P10441
b0183	P10442
b0184	P10443
b0185	P0ABD5
b0186	P52095
b0187	P52096
b0188	P52097
b0189	P0AFW8
b4406	P0A8K5
b0190	P0AA97
b0191	P40711
b0192	P40710
b0193	P37056
b0194	P16659
b0195	P28634
b0196	P69411
b0197	P28635
b0198	P31547
b0199	P30750
b0200	P63228
b0207	P30863
b0208	P30864
b0209	P0A8U2
b0210	P30866
b0211	P0AEZ7
b0212	P0AC84
b0213	P75672
b0214	P0A7Y4
b0215	P03007
b0217	P77339
b4586	A5A605
b0219	Q47679
b0220	P0AD59
b0221	Q47146
b0222	P63224
b0223	Q47147
b0224	P0AA99
b0225	Q47149
b0226	Q47150
b0227	Q47151
b0228	Q47152
b0231	Q47155
b0232	Q47156
b0233	Q47157
b0234	Q47158
b0237	P15288
b0238	P0A9M5
b0239	P04335
b0241	P02932
b0242	P0A7B5
b0243	P07004
b0245	P77692
b0246	Q47684
b4504	Q9XB42
b0247	Q47685
b0248	P75676
b0249	P75677
b0250	P77162
b0251	P77365
b0252	P77206
b0253	P75678
b0254	Q57083
b0256	P0CF88
b0259	P0CE49
b0260	Q47689
b0261	Q47690
b0262	P37009
b0264	P0CF26
b0265	P0CF08
b0267	P37007
b0268	P75682
b0269	P77596
b0270	P75683
b0271	P77713
b0272	P77300
b0273	P06960
b0274	P0CF27
b0275	P0CF09
b0277	P77657
b0278	P77607
b0279	P71296
b0280	P71297
b0281	P71298
b0283	P77183
b0284	P77489
b0285	P77324
b0286	P77165
b0287	P0AAA1
b0288	P0AAL9
b0289	P77263
b0290	P77694
b0291	P77802
b0292	P77188
b0293	P0AAA3
b0294	P71301
b0295	P56257
b4506	Q2EEQ2
b0296	P0A7N1
b4671	C1P5Z8
b0298	P0CF66
b0299	P0CF79
b0301	P75685
b0303	P75687
b0304	P77212
b0305	P77379
b0306	P77252
b0307	P77536
b0308	P77433
b0310	P77180
b0311	P17444
b0312	P17445
b0313	P17446
b0314	P0ABC9
b0315	P21514
b0316	P77700
b0317	P77219
b0318	P77736
b0319	P77297
b0320	P77187
b0321	P77221
b0323	P77624
b0324	P77554
b0325	P75691
b0326	P77393
b0327	P75692
b0328	P75693
b0329	P75694
b0330	P77743
b0331	P77541
b0333	P31660
b0334	P77243
b0335	P77495
b0336	P0AA82
b0337	P25524
b0338	P27111
b0339	P0ABE9
b0340	P00816
b0341	P17583
b0342	P07464
b0343	P02920
b0344	P00722
b0345	P03023
b0346	P77569
b0347	P77397
b0348	P0ABR9
b0349	P77044
b0350	P77608
b0351	P77580
b0352	P51020
b0353	P77589
b0354	P51024
b0355	P51025
b0356	P25437
b0357	P0AAP3
b0358	Q47534
b0360	P0CF40
b0361	P0CF53
b0363	Q47536
b0364	P71311
b0365	Q47537
b0366	Q47538
b0367	Q47539
b0368	P37610
b0369	P0ACB2
b0372	P0CF80
b0373	P0CF67
b0375	P0AAP5
b0376	P0AD70
b0377	P0AFY6
b0378	P77562
b0379	P0AAP7
b0380	P0AAQ0
b0381	P0A6J8
b0382	P0AAN9
b0383	P00634
b0384	P0AFM4
b0385	P0AAP1
b0386	P0A9L8
b0387	P0A8D3
b0388	P0A6E1
b0389	P0AAN5
b0390	P0AE28
b0391	P0C037
b0393	P36767
b0394	P23917
b0396	P23910
b0397	P13458
b0398	P0AG76
b0399	P0AFJ5
b0400	P08400
b0401	P0AD99
b0402	P0AAE2
b0403	P21517
b0404	P21515
b0405	P0A7F9
b0406	P0A847
b0407	P0ADZ7
b0408	P0AG90
b0409	P0AG93
b0410	P0AAQ2
b0411	P0A927
b0412	P46122
b0413	P0A8D0
b0414	P25539
b0415	P61714
b0416	P0A780
b0417	P0AGG0
b0418	P18200
b0419	P77735
b0420	P77488
b0421	P22939
b0422	P0A8G9
b0423	P77718
b0424	Q46948
b0425	P0A9J4
b0426	P0A8E7
b0427	P77726
b0428	P0AEA5
b0429	P0ABJ6
b0430	P0ABJ3
b0431	P0ABI8
b0432	P0ABJ1
b0433	P0AE16
b0434	P0ADA5
b0435	P0ABE2
b0436	P0A850
b0437	P0A6G7
b0438	P0A6H1
b0439	P0A9M0
b0440	P0ACF4
b0441	P0ADY1
b0442	P0AAR8
b0443	P77712
b0444	P77756
b0445	P46890
b0446	P46891
b0447	P0ACJ5
b0448	P77265
b0449	P0AAG5
b0450	P0AC55
b0451	P69681
b0452	P0AGG2
b0453	P77717
b0454	P0AFP2
b0456	P0AAQ6
b0457	P77473
b0458	P0AAS0
b0459	P77791
b0460	P0ACE3
b0461	P0AAR0
b0462	P31224
b0463	P0AE06
b0464	P0ACS9
b0465	P77338
b0466	P45807
b0467	P23862
b0468	P0AAR5
b0469	P69503
b0470	P06710
b0471	P0A8B5
b0472	P0A7H6
b0473	P0A6Z3
b0474	P69441
b0475	P23871
b0476	P23872
b0477	P0AEW6
b0478	P39830
b0479	P52067
b0480	P07024
b0481	P0AAR3
b0482	P77301
b0483	P0A9T6
b0484	Q59385
b0485	P77454
b0486	P77400
b0487	P0A9G4
b0488	P0AAS3
b0489	P0AA53
b0490	P77279
b0491	P77307
b0492	P77395
b0493	P0AFP4
b0494	P0ADA1
b0495	P0A9T8
b0496	P77504
b0497	P16919
b0498	P33668
b0503	P33667
b0504	P0ACR0
b0505	P77731
b0506	P0ACN4
b0507	P0AEP7
b0508	P30147
b0509	P77161
b0511	P75712
b0512	P77671
b0513	P77328
b0514	P77364
b0515	P75713
b0516	P77425
b0517	P77555
b0518	Q47208
b4572	P77129
b0520	P0AAS5
b0521	P37306
b0522	P09029
b0523	P0AG18
b0524	P43341
b0525	P23869
b0526	P21888
b0527	P45570
b0528	P0AAS7
b0529	P24186
b0530	P0ABW5
b0531	P77249
b0532	P77468
b0533	P75715
b0534	P38052
b0535	P0AEL8
b0537	P24218
b0540	P0CF68
b0541	P0CF81
b0543	P23895
b0544	P77698
b0545	P77368
b0546	P77634
b4588	Q47268
b0547	Q47269
b0548	Q47270
b0549	P68661
b0550	P0AG74
b4509	Q47272
b0551	Q47274
b0552	P0CE50
b0554	P0A9R2
b0555	P78285
b0556	P75719
b4510	P58041
b0557	P77330
b0558	P77598
b0559	P64435
b4589	A5A607
b0560	P31062
b0564	P05052
b0565	P09169
b0566	P10805
b0567	P37325
b0568	P31600
b0569	P0AFA5
b0570	P77485
b0571	P0ACZ8
b0572	P77211
b0573	P77214
b0574	P77239
b0575	P38054
b0576	P24207
b0577	P0AAT4
b0578	P38489
b0579	P0AAT2
b0580	P77506
b0581	P77213
b4415	P77091
b0582	P0CF92
b0583	P19925
b0584	P05825
b0585	P13039
b4511	P18393
b0586	P11454
b0587	P26266
b0588	P23878
b0589	P23877
b0590	P23876
b0591	P24077
b0592	P0AEL6
b0593	P0AEJ2
b0594	P10378
b0595	P0ADI4
b0596	P15047
b0597	P0A8Y8
b0598	P15078
b4512	P0AAS9
b0599	P45579
b0600	P77806
b0601	P77174
b0602	P77216
b0603	P77746
b0604	P77202
b0605	P0AE08
b0606	P35340
b0607	P39177
b0608	P77316
b0610	P0AFW4
b0611	P21338
b0612	P0AE74
b0613	P77231
b0614	P0A6G5
b0615	P75726
b0616	P0A9I1
b0617	P69330
b0618	P77390
b0619	P77510
b0620	P0AEF4
b0621	P0ABP3
b0622	P37001
b0623	P0A972
b0624	P37002
b0627	P0A843
b0628	P60716
b0629	P30979
b0630	P60720
b0631	P0A8J4
b0632	P0AEB2
b0633	P10100
b0634	P0ABG7
b0635	P0AD65
b0636	P0A8I8
b0637	P0AAT6
b0638	P52086
b0639	P0A752
b0640	P28630
b0641	P0ADC1
b0642	P07813
b0643	P0AAT9
b0644	P77234
b0645	P77627
b0646	P77381
b0647	P77296
b0648	P77427
b0649	P77359
b0650	P77319
b0651	P41409
b0652	P0AAG3
b0653	P0AER5
b0654	P0AER3
b0655	P37902
b0656	P0CE51
b0657	P23930
b0658	P0AE78
b0659	P0A898
b0660	P0A9K3
b0661	P0AEI1
b0662	P75728
b0674	P22106
b0675	P0AF24
b0676	P0AF20
b0677	P0AF18
b0678	P0A759
b0679	P09323
b0680	P00962
b0681	P75733
b0682	P75734
b0683	P0A9A9
b4637	A8DYP9
b0684	P61949
b0685	P0AAU7
b0686	P75736
b0687	P0AFY8
b0688	P36938
b0689	P75737
b0692	P0AAF1
b0693	P24169
b4590	P46121
b0694	P21866
b0695	P21865
b0696	P03961
b0697	P03960
b0698	P03959
b4513	P36937
b0699	P0AAU2
b0700	P16918
b0702	P0AAU5
b0704	P28915
b0706	P28916
b0707	P24252
b0708	P00914
b0709	P75742
b0710	P0AFP6
b0711	P0AAV4
b0712	P75745
b0713	P75746
b0714	P50465
b0715	P75747
b0716	P75748
b0717	P75749
b0718	P75750
b0719	P37909
b0720	P0ABH7
b0721	P69054
b0722	P0AC44
b0723	P0AC41
b0724	P07014
b0726	P0AFG3
b0727	P0AFG6
b0728	P0A836
b0729	P0AGE9
b0730	P13669
b0731	P54745
b0732	P54746
b0733	P0ABJ9
b0734	P0ABK2
b4515	P56100
b0735	P0AAV0
b0736	P0A8Z3
b0737	P0ABU9
b0738	P0ABV6
b0739	P19934
b0740	P0A855
b0741	P0A912
b0742	P45955
b0750	P11458
b0751	P0AFK2
b0752	P75757
b0753	P0AAV6
b0754	P0AB91
b0755	P62707
b0756	P0A9C3
b0757	P0A6T3
b0758	P09148
b0759	P09147
b0760	P31060
b0761	P0A9G8
b0762	P0AAW9
b0763	P37329
b0764	P0AF01
b0765	P09833
b0766	P21829
b0767	P52697
b0768	P52696
b0769	P0AAV8
b0770	P75763
b0771	P75764
b0772	P46130
b0773	P12994
b0774	P12995
b0775	P12996
b0776	P12998
b0777	P12999
b0778	P13000
b0779	P0A8F8
b0780	P75767
b0781	P30745
b0782	P0AEZ9
b0783	P0A738
b0784	P30748
b0785	P30749
b0786	P0AAC4
b0787	P75769
b0788	P75770
b0789	P0AA84
b0790	P0AAW1
b0791	P0AAW5
b0792	P0AFP9
b0793	P0AFQ2
b0794	P0A9U1
b0795	P75777
b0796	P0ACU0
b0797	P25888
b0798	P30176
b0799	P27296
b0800	P30177
b0801	P30178
b0802	P0AAX3
b0803	P41039
b0804	P75779
b0805	P75780
b0806	P0AAX6
b0807	P75782
b0808	P75783
b0809	P10346
b0810	P0AEQ6
b0811	P0AEQ3
b0812	P0ABT2
b0813	P0AA67
b0814	P0A917
b0815	P75785
b4705	P0DKB3
b0817	P0A9F1
b0818	P75788
b0819	P0AAX8
b0820	P0A9U3
b0821	P75791
b0822	P75792
b0823	P75793
b0824	P75794
b0825	P78055
b0826	P12282
b0827	P12281
b0828	P37595
b0829	P75796
b0830	P75797
b0831	P75798
b0832	P75799
b0833	P75800
b0834	P75801
b0835	P0AEI4
b0836	P0AAY1
b0837	P75804
b0838	P0ACA7
b0839	P08506
b0840	P0ACK5
b0841	P75806
b0842	P0AEY8
b0843	P0AAY4
b0844	P75809
b0845	P75810
b0846	P75811
b0847	P60869
b0848	P64439
b0849	P68688
b0850	P46119
b0851	P17117
b0852	P0C0U4
b0853	P0AAY6
b0854	P31133
b0855	P31134
b0856	P31135
b0857	P0AFL1
b0858	P0AAZ0
b0859	P75817
b0860	P30860
b0861	P0AE30
b0862	P0AE34
b0863	P30859
b0864	P0AAF6
b0865	P75818
b0866	P0A8C1
b0867	P75820
b0868	P75821
b0869	P75822
b0870	P75823
b0871	P07003
b0872	P75824
b0873	P75825
b0874	P75826
b0875	P60844
b0876	P75828
b0877	P75829
b0878	P75830
b0879	P75831
b0880	P0A968
b0881	P0A8Q6
b0882	P0ABH9
b0884	P69222
b0885	P0A8P1
b0886	P23886
b0887	P29018
b0888	P0A9P4
b0889	P0ACJ0
b0890	P46889
b0891	P61316
b0892	P0AAZ4
b0893	P0A8L1
b0894	P18775
b0895	P18776
b0896	P18777
b0897	P21367
b0898	P21503
b0899	P75835
b0900	P75836
b0901	P43340
b0902	P0A9N4
b0903	P09373
b0904	P0AC23
b0905	P75838
b0906	P75839
b0907	P23721
b0908	P0A6D3
b0909	P43674
b0910	P0A6I0
b0911	P0AG67
b0912	P0A6Y1
b0913	P37443
b0914	P60752
b0915	P27300
b0916	P75843
b0917	P0AAZ7
b0918	P04951
b0919	P0AB03
b0920	P0AB01
b0921	P36566
b0922	P60293
b0923	P22524
b0924	P22523
b0925	P22525
b0926	P0AB06
b0927	P75849
b0928	P00509
b0929	P02931
b0930	P0A8M0
b0931	P18133
b0932	P04825
b0933	P0AAI1
b0934	P75851
b0935	P80645
b0936	P75853
b0937	P80644
b0938	P75855
b0939	P75856
b0940	P75857
b0941	P75858
b0942	P75859
b0943	P75860
b0944	P40876
b0945	P0A7E1
b0946	P75862
b0947	P75863
b0948	P75864
b0949	P43672
b0950	P0AFL9
b0951	P43671
b0952	P0AB10
b0953	P0AFW2
b0954	P0A6Q3
b0955	P75867
b0956	P0A8N0
b0957	P0A910
b0958	P0AFZ5
b0959	P75869
b0960	P75870
b0961	P0AB12
b0962	P15038
b0963	P0A731
b0964	P0A8X4
b0965	P75874
b0966	P0AB20
b0967	P75876
b0968	P0AB65
b0969	P0AB18
b0970	P0AAC6
b0972	P69739
b0973	P0ACD8
b0974	P0AAM1
b0975	P19930
b0976	P19931
b0977	P19932
b0978	P26459
b0979	P26458
b4592	P24244
b0980	P07102
b0981	P38134
b0982	P0ACZ2
b0983	P0A932
b0984	P75882
b0985	P75883
b0986	P75884
b0987	P75885
b4516	P0CF10
b0988	P57998
b0989	P0A982
b0990	P0A978
b0991	P0AAA5
b4517	P0AC92
b0992	P52636
b0993	P39453
b0994	P38683
b0995	P38684
b0996	P33226
b0997	P33225
b0998	P36662
b0999	P63264
b1000	P36659
b1001	P36661
b1002	P19926
b1003	P0AB14
b1004	P0A8G6
b4518	P56614
b1006	P75892
b1007	P75893
b1008	P75894
b1009	P75895
b1010	P0AFQ5
b1011	P75897
b1012	P75898
b1013	P0ACU2
b1014	P09546
b1015	P07117
b1018	P0AB24
b1019	P31545
b1020	P0A9K1
b1021	P69432
b1022	P75905
b1023	P75906
b1024	P69434
b1025	P75908
b1026	P0CF82
b1027	P0CF69
b1029	P75910
b1033	P75913
b1034	P75914
b1035	P75915
b1036	P75916
b1037	P0AEA2
b1038	P0AE98
b1039	P0AE95
b1040	P52106
b1041	P0ABK7
b1042	P28307
b1043	P52107
b1044	P75917
b1045	P0A8D6
b1046	P75919
b1047	P75920
b1048	P33136
b1049	P62517
b1050	P0AB31
b1051	P25738
b1053	P25744
b1054	P0ACV0
b1055	P24188
b1056	P0A8X2
b1057	P75925
b1058	P64442
b1059	P40874
b1060	P0AB33
b1061	P0ABR1
b1062	P05020
b1063	P0AB26
b1064	P0AC59
b1065	P69367
b1066	P0A948
b1067	P29217
b1068	P75931
b1069	P0AF16
b1070	P43533
b1071	P0AEM4
b1072	P75933
b1073	P0ABW9
b1074	P0ABX2
b1075	P75936
b1076	P75937
b1077	P75938
b1078	P0ABX5
b1079	P0A6S0
b1080	P0A6S3
b1081	P75942
b1082	P33235
b1083	P29744
b1084	P21513
b1085	P62066
b1086	P0AA39
b1087	P0A729
b1088	P0AB28
b1089	P0A7N4
b1090	P27247
b1091	P0A6R0
b1092	P0AAI9
b1093	P0AEK2
b1094	P0A6A8
b1095	P0AAI5
b1096	P28305
b1097	P28306
b1098	P0A720
b1099	P28631
b1100	P0AFQ7
b1101	P69786
b1102	P16869
b1103	P0ACE7
b1104	P75946
b1105	P0AB38
b1106	P75948
b1107	P75949
b1108	P0A8E1
b1109	P00393
b1110	P0AB35
b1111	P75952
b1112	P0AB40
b1113	P75954
b1114	P30958
b1115	P75955
b1116	P0ADC3
b1117	P75957
b1118	P75958
b1119	P75959
b1120	P75960
b1121	P75961
b1122	P75962
b1123	P0AFK9
b1124	P0AFK6
b1125	P0AFK4
b1126	P69874
b1127	P29745
b1128	P27431
b1129	P23837
b1130	P23836
b1131	P0AB89
b1132	P25746
b1133	P25745
b1134	P0AEI6
b1135	P75966
b1136	P08200
b1137	P75967
b1138	P75968
b1139	P11072
b1140	P75969
b1141	P75970
b1143	P75972
b1144	P75973
b1145	P75974
b1146	P75975
b1147	P75976
b1148	P75977
b1150	P75979
b1153	P75982
b1154	P45581
b1155	P09154
b1156	P09153
b1158	P03014
b1159	P24200
b1160	P75987
b1161	P75988
b1162	P75989
b1163	P75990
b1164	P75991
b1165	P75992
b1166	P75993
b1167	P75994
b1168	P75995
b4520	P58034
b1171	P0AB46
b1172	Q7DFV3
b4593	A5A611
b4594	A5A612
b1174	P0A734
b1175	P0AEZ3
b1176	P18196
b1177	P76001
b1178	P76002
b1179	P0AB43
b1180	P76004
b1181	P0A8L5
b1182	P77335
b1183	P0AG11
b1184	P04152
b1185	P0A6M2
b1186	P0AFA7
b1187	P0A8V6
b1188	P29013
b1189	P0A6J5
b1190	P29012
b1191	P76007
b1192	P76008
b1193	P0C960
b1194	P76010
b1195	P76011
b1196	P76012
b1197	P13482
b1198	P37349
b1199	P76014
b1200	P76015
b1201	P76016
b1202	P76017
b1203	P0ABU2
b1204	P0A7D1
b1205	P0AB49
b1206	P0AFR2
b1207	P0A717
b1208	P62615
b1209	P61320
b1210	P0A6X1
b1211	P0A7I0
b1212	P0ACC1
b1213	Q46755
b1214	P0AGM5
b1215	P0A715
b4419	Q6BF86
b4421	Q6BF87
b4423	Q6BF86
b1216	P31801
b1217	P0AE63
b1218	P39163
b1219	P0AB52
b1220	P39165
b1221	P0AF28
b1222	P0AFA2
b1223	P10903
b1224	P09152
b1225	P11349
b1226	P0AF26
b1227	P11350
b1229	P02338
b1232	P37051
b1233	P37052
b1234	P0AFR0
b1235	P0AEV1
b1236	P0AEP3
b1237	P0ACF8
b1238	P23331
b1241	P0A9Q7
b1242	P25743
b1243	P23843
b1244	P0AFH2
b1245	P0AFH6
b1246	P76027
b1247	P77737
b1248	P0A8L7
b1249	P0A6H8
b4595	A5A613
b1250	P31069
b1251	P0AB55
b1252	P02929
b1253	P0A8Z0
b1254	P0A710
b1255	P21365
b1256	P0A915
b1257	P21363
b1258	P21362
b1259	P21361
b1260	P0A877
b1261	P0A879
b1262	P00909
b1263	P00904
b1264	P00895
b1265	P0AD92
b1266	P77766
b1267	P0AFR4
b1268	P45848
b1269	P37765
b1270	P0A9H5
b1271	P31808
b1272	P0AG14
b1273	P0AB61
b1274	P06612
b1275	P0A9F3
b4522	P0CB62
b4523	P58094
b1276	P25516
b1277	P0A7I7
b1278	P0A924
b1279	P0ACV4
b1280	P0AB58
b1281	P08244
b1282	P08245
b1283	P0ADA7
b1284	P76034
b4596	A5A614
b1285	P77334
b4672	C1P5Z9
b1286	P30850
b1287	P76035
b1288	P0AEK4
b1289	P45736
b1290	P0AAH8
b1291	P0AAH4
b1292	P0AGH5
b1293	P0AGH3
b1294	Q47622
b1295	P0ACV8
b1296	P76037
b1297	P78061
b1298	P76038
b1299	P0A9U6
b1300	P23883
b1301	P37906
b1302	P50457
b1303	P37344
b1304	P0AFM6
b1305	P0AFM9
b1306	P0AFN2
b1307	P0AFV8
b1308	P23857
b1309	P76041
b1310	P76042
b1311	P0AFR7
b1312	P77716
b1313	P76043
b1314	P76044
b1315	P77503
b1316	P77154
b1317	P77366
b1319	P76045
b1320	P77615
b1321	P76046
b1322	P0A8R7
b1323	P07604
b1324	P0A862
b1325	P51981
b1326	P0ACV6
b1327	P76049
b1328	P77333
b1329	P77348
b1330	P0AEB5
b1331	P0CE52
b1332	P64445
b1333	P0AAC0
b1334	P0A9E5
b1335	P0AFH0
b1336	P46133
b1337	P76052
b1338	P77357
b1339	P77744
b1340	P76053
b1341	P77302
b1342	P64423
b1343	P21693
b1344	P76055
b1345	P76056
b1346	P76057
b1347	P33230
b1348	P33229
b1349	P33228
b1350	P15032
b1351	P15033
b4526	P38394
b1352	P38393
b1353	P38392
b4527	P0ACW0
b1355	P76061
b1356	P76062
b1357	P76063
b1358	P76064
b1359	P76065
b1360	P77546
b4528	P58042
b1363	P23849
b1365	P76068
b1372	P76072
b1373	P77163
b1374	P0ADI0
b1375	P76073
b1376	P37903
b1377	P77747
b1378	P52647
b4529	P0ACW2
b1379	P52644
b1380	P52643
b1381	P52645
b1382	P64448
b1383	P76076
b1384	Q47129
b1385	P80668
b1386	P46883
b1387	P77455
b1388	P76077
b1389	P76078
b1390	P76079
b1391	P76080
b1392	P76081
b1393	P76082
b1394	P77467
b1395	P76083
b1396	P76084
b1397	P0C7L2
b1398	P76085
b1399	P76086
b1400	P77181
b4674	C1P600
b1402	P0CF54
b1403	P0CF41
b1404	P0CF89
b1406	P25906
b1407	P25907
b1408	P76090
b1409	P76091
b1410	P76092
b1411	P76093
b1412	P41407
b1413	P43329
b1414	P34209
b1415	P25553
b1418	P0ABE5
b1419	P0ACW4
b4428	P77494
b1420	P76096
b1421	P05704
b1422	P77171
b1423	P76097
b1424	P40120
b1426	P0ACW6
b1427	P13857
b1428	P76100
b1429	P25396
b1430	P25397
b1431	P64451
b1432	P76102
b1433	P76103
b1434	P77626
b1435	P76104
b1436	P64459
b4532	P76106
b1438	P67697
b1439	P77730
b1440	P76108
b1441	P77795
b1442	P77156
b1443	P0AFR9
b1444	P77674
b4598	A5A615
b1445	P64453
b1446	P64455
b1447	P76111
b1448	P76112
b1449	P76113
b1450	P76114
b1451	P76115
b1452	P76116
b1453	P77610
b1454	P76117
b1455	P76118
b1457	P31991
b1460	P28917
b1461	P31992
b1462	P76121
b1463	P77567
b1464	P37757
b1465	P0AF32
